Time,Source,Destination,Protocol,Length,info
852.4703198722378,192.168.1.2,10.0.0.1,UDP,1285,normal
978.8531095161817,192.168.1.2,10.0.0.1,TCP,875,normal
17.73332780285419,192.168.1.2,10.0.0.2,TCP,1476,normal
751.2366173185842,192.168.1.2,10.0.0.1,UDP,1309,normal
271.55387872862804,192.168.1.2,10.0.0.1,ICMP,592,normal
753.8984999125224,192.168.1.2,10.0.0.2,ICMP,131,normal
198.35771194567198,192.168.1.1,10.0.0.2,TCP,402,normal
459.80514056680266,192.168.1.2,10.0.0.1,ICMP,791,normal
915.6065526632483,192.168.1.1,10.0.0.2,ICMP,1333,normal
345.0120011292445,192.168.1.2,10.0.0.2,ICMP,1203,normal
886.0516438535205,192.168.1.2,10.0.0.1,TCP,684,normal
701.9310753936381,192.168.1.2,10.0.0.1,TCP,1256,normal
212.23611349902305,192.168.1.1,10.0.0.2,ICMP,392,normal
708.3764081643462,192.168.1.2,10.0.0.2,ICMP,914,normal
981.9451262089096,192.168.1.2,10.0.0.1,UDP,1235,normal
119.09488421111014,192.168.1.2,10.0.0.1,ICMP,217,normal
67.06351774317854,192.168.1.1,10.0.0.2,ICMP,1397,normal
919.9260517643991,192.168.1.2,10.0.0.2,ICMP,684,normal
614.1471649706145,192.168.1.1,10.0.0.1,TCP,1092,normal
382.8029898264195,192.168.1.2,10.0.0.1,UDP,1320,normal
933.3535009645727,192.168.1.1,10.0.0.2,TCP,1411,normal
908.5625737502809,192.168.1.1,10.0.0.2,ICMP,400,normal
757.8870447982362,192.168.1.1,10.0.0.2,TCP,771,normal
826.8672553174403,192.168.1.1,10.0.0.2,ICMP,463,normal
450.8351922631262,192.168.1.1,10.0.0.2,UDP,612,normal
437.8173442567711,192.168.1.1,10.0.0.2,ICMP,865,normal
306.9864623924492,192.168.1.2,10.0.0.1,UDP,794,normal
522.6168533370003,192.168.1.2,10.0.0.2,UDP,300,normal
401.1826336491028,192.168.1.2,10.0.0.2,ICMP,281,normal
850.4456380401879,192.168.1.2,10.0.0.1,TCP,1128,normal
146.0343365949287,192.168.1.2,10.0.0.1,TCP,219,normal
664.2602332860397,192.168.1.1,10.0.0.1,TCP,651,normal
764.3899328376027,192.168.1.2,10.0.0.1,ICMP,982,normal
454.7071281699515,192.168.1.1,10.0.0.2,TCP,1278,normal
174.0212338180709,192.168.1.1,10.0.0.2,UDP,1052,normal
532.323704846221,192.168.1.2,10.0.0.1,TCP,819,normal
596.4629636864181,192.168.1.2,10.0.0.2,ICMP,1232,normal
636.4325256999097,192.168.1.2,10.0.0.1,UDP,1238,normal
47.905100292664926,192.168.1.2,10.0.0.1,ICMP,1170,normal
827.521085773901,192.168.1.2,10.0.0.2,TCP,314,normal
974.3017867744292,192.168.1.2,10.0.0.2,UDP,662,normal
529.136416135985,192.168.1.2,10.0.0.1,TCP,968,normal
262.14306999912804,192.168.1.1,10.0.0.1,UDP,717,normal
462.17750010096614,192.168.1.2,10.0.0.2,ICMP,490,normal
267.1012413386925,192.168.1.2,10.0.0.1,TCP,247,normal
852.4701411659292,192.168.1.2,10.0.0.2,UDP,1451,normal
218.80237776481982,192.168.1.1,10.0.0.1,TCP,666,normal
581.57260111086,192.168.1.1,10.0.0.1,UDP,1034,normal
352.4323739220931,192.168.1.1,10.0.0.2,TCP,973,normal
75.31558356869472,192.168.1.2,10.0.0.2,TCP,1445,normal
51.1954522121304,192.168.1.2,10.0.0.1,TCP,942,normal
66.3435989857768,192.168.1.1,10.0.0.1,TCP,1240,normal
595.6749967558542,192.168.1.2,10.0.0.1,TCP,1073,normal
252.77541932484183,192.168.1.1,10.0.0.1,UDP,241,normal
721.1183896303414,192.168.1.2,10.0.0.2,TCP,1061,normal
263.23899644941264,192.168.1.1,10.0.0.1,TCP,601,normal
354.4963054675996,192.168.1.1,10.0.0.1,TCP,318,normal
893.9298608343744,192.168.1.2,10.0.0.1,UDP,1137,normal
600.3171409645842,192.168.1.1,10.0.0.2,UDP,119,normal
877.2108609830899,192.168.1.1,10.0.0.2,TCP,128,normal
736.5777944642773,192.168.1.2,10.0.0.2,TCP,564,normal
99.95216156620923,192.168.1.2,10.0.0.1,ICMP,682,normal
860.2837320240568,192.168.1.1,10.0.0.1,ICMP,682,normal
47.487884577567144,192.168.1.1,10.0.0.1,UDP,368,normal
467.34997308326945,192.168.1.2,10.0.0.2,TCP,757,normal
479.4117463211839,192.168.1.1,10.0.0.1,TCP,1481,normal
668.1920033133307,192.168.1.2,10.0.0.2,TCP,1246,normal
382.97216114814603,192.168.1.1,10.0.0.1,TCP,237,normal
740.4928454180283,192.168.1.1,10.0.0.1,UDP,122,normal
979.4309725460637,192.168.1.1,10.0.0.2,ICMP,287,normal
207.0258700367984,192.168.1.1,10.0.0.2,ICMP,731,normal
506.5677796467405,192.168.1.1,10.0.0.1,ICMP,969,normal
883.0381871840832,192.168.1.2,10.0.0.1,TCP,1317,normal
369.7032986825831,192.168.1.1,10.0.0.1,ICMP,101,normal
802.4300950775861,192.168.1.1,10.0.0.2,TCP,1057,normal
326.88313497537,192.168.1.2,10.0.0.1,ICMP,380,normal
498.7586757975262,192.168.1.1,10.0.0.2,ICMP,1002,normal
416.1710024498271,192.168.1.2,10.0.0.2,TCP,45,normal
211.56643068052682,192.168.1.1,10.0.0.1,UDP,648,normal
793.3246390013439,192.168.1.2,10.0.0.1,UDP,458,normal
721.0872249830148,192.168.1.1,10.0.0.2,ICMP,1032,normal
607.0101869144122,192.168.1.2,10.0.0.2,ICMP,1071,normal
539.7125325947244,192.168.1.2,10.0.0.2,TCP,636,normal
990.5227365248936,192.168.1.2,10.0.0.1,UDP,150,normal
201.6656100467993,192.168.1.2,10.0.0.1,UDP,347,normal
835.9851741374526,192.168.1.1,10.0.0.2,ICMP,482,normal
832.2306983328153,192.168.1.2,10.0.0.1,ICMP,155,normal
620.8728983079833,192.168.1.1,10.0.0.1,UDP,1007,normal
691.8171788729451,192.168.1.2,10.0.0.2,UDP,783,normal
955.6185264499546,192.168.1.1,10.0.0.1,ICMP,935,normal
481.15948802048393,192.168.1.2,10.0.0.2,ICMP,1447,normal
